"","Código do Município","Município","Estado","Ano de Referência","Código do Prestador","Prestador","Sigla do Prestador","Abrangência","Tipo de Serviço","Natureza Jurídica","G05A - Quantidade total de municípios atendidos com abastecimento de água","G05B - Quantidade total de municípios atendidos com esgotamento sanitário","G06A - População urbana residente do(s) município(s) com abastecimento de água","G06B - População urbana residente do(s) município(s) com esgotamento sanitário","G12A - População total residente do(s) município(s) com abastecimento de água, segundo o IBGE","G12B - População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE","GE001 - Quantidade de municípios atendidos com abastecimento de água com delegação em vigor","GE002 - Quantidade de municípios atendidos com abastecimento de água com delegação vencida","GE003 - Quantidade de municípios atendidos com abastecimento de água sem delegação","GE005 - Quantidade total de municípios atendidos","GE008 - Quantidade de Sedes municipais atendidas com abastecimento de água","GE009 - Quantidade de Sedes municipais atendidas com esgotamento sanitário","GE010 - Quantidade de Localidades (excluídas as sedes) atendidas com abastecimento de água","GE011 - Quantidade de Localidades (excluídas as sedes) atendidas com esgotamento sanitário","GE014 - Quantidade de municípios atendidos com esgotamento sanitário com delegação em vigor","GE015 - Quantidade de municípios atendidos com esgotamento sanitário com delegação vencida","GE016 - Quantidade de municípios atendidos com esgotamento sanitário sem delegação","GE017 - Ano de vencimento da delegação de abastecimento de água","GE018 - Ano de vencimento da delegação de esgotamento sanitário","GE025 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação em vigor","GE026 - Quantidade de municípios não atendidos com abastecimento de água, mas com delegação vencida para prestar esses serviços","GE028 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação em vigor para prestar esses serviços","GE029 - Quantidade de municípios não atendidos com esgotamento sanitário, mas com delegação vencida para prestar esses serviços"
"1",120010,"Brasiléia","AC",2017,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,16500,16500,24765,24765,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",120010,"Brasiléia","AC",2016,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,16198,16198,24311,24311,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",120010,"Brasiléia","AC",2015,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,15890,15890,23849,23849,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",120010,"Brasiléia","AC",2014,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,15576,15576,23378,23378,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",120010,"Brasiléia","AC",2013,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,15257,15257,22899,22899,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",120010,"Brasiléia","AC",2012,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,14832,14832,22261,22261,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",120010,"Brasiléia","AC",2011,12001011,"Prefeitura Municipal de Brasiléia","PMB","Local","Esgoto","Administração pública direta",0,1,14549,14549,21837,21837,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",120013,"Bujari","AC",2016,12001311,"Prefeitura Municipal de Bujari","PMB","Local","Esgoto","Administração pública direta",0,1,4143,4143,9503,9503,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",120013,"Bujari","AC",2014,12001311,"Prefeitura Municipal de Bujari","PMB","Local","Esgoto","Administração pública direta",0,1,3999,3999,9173,9173,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",120032,"Jordão","AC",2013,12003211,"Prefeitura Municipal de Jordão","PMJ","Local","Esgoto","Administração pública direta",0,1,2469,2469,7147,7147,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",120033,"Mâncio Lima","AC",2014,12003311,"Prefeitura Municipal de Mancio Lima","PMML","Local","Esgoto","Administração pública direta",0,1,9664,9664,16795,16795,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",120033,"Mâncio Lima","AC",2012,12003311,"Prefeitura Municipal de Mancio Lima","PMML","Local","Esgoto","Administração pública direta",0,1,9144,9144,15890,15890,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",120038,"Plácido de Castro","AC",2016,12003811,"Prefeitura Municipal de Plácido de Castro","PMPC","Local","Esgoto","Administração pública direta",0,1,11062,11062,18336,18336,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",120038,"Plácido de Castro","AC",2015,12003811,"Prefeitura Municipal de Plácido de Castro","PMPC","Local","Esgoto","Administração pública direta",0,1,10955,10955,18159,18159,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",120038,"Plácido de Castro","AC",2014,12003811,"Prefeitura Municipal de Plácido de Castro","PMPC","Local","Esgoto","Administração pública direta",0,1,10847,10847,17979,17979,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",120038,"Plácido de Castro","AC",2012,12003811,"Prefeitura Municipal de Plácido de Castro","PMPC","Local","Esgoto","Administração pública direta",0,1,10610,10610,17587,17587,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",120038,"Plácido de Castro","AC",2010,12003811,"Prefeitura Municipal de Plácido de Castro","PMPC","Local","Esgoto","Administração pública direta",0,1,10382,10382,17209,17209,NA,NA,NA,1,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",120040,"Rio Branco","AC",2017,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,600692,352072,829619,383443,22,0,0,22,22,1,5,0,1,0,0,NA,NA,0,0,21,0
"19",120040,"Rio Branco","AC",2016,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,591481,346208,816687,377057,22,0,0,22,22,1,5,0,1,0,0,NA,NA,0,0,21,0
"20",120040,"Rio Branco","AC",2015,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,582101,340233,803513,370550,22,0,0,22,22,1,5,0,1,0,0,NA,NA,0,0,21,0
"21",120040,"Rio Branco","AC",2014,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,572554,334153,790101,363928,22,0,0,22,22,1,5,0,1,0,0,NA,NA,0,0,21,0
"22",120040,"Rio Branco","AC",2013,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,562843,327970,776463,357194,21,0,1,22,22,1,5,0,1,0,0,NA,NA,0,0,0,0
"23",120040,"Rio Branco","AC",2012,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água e Esgoto","Autarquia",22,1,550293,319853,758786,348354,21,0,1,22,22,1,5,0,0,0,0,NA,NA,0,0,1,0
"24",120040,"Rio Branco","AC",2011,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,314294,314294,342299,342299,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",120040,"Rio Branco","AC",2011,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",19,NA,219273,0,379807,0,18,0,1,19,19,NA,4,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"26",120040,"Rio Branco","AC",2010,12004011,"Serviço de Água e Esgoto de Rio Branco","SAERB","Local","Água e Esgoto","Autarquia",1,1,308545,308545,336038,336038,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",120040,"Rio Branco","AC",2010,12004000,"Departamento Estadual de Pavimentação e Saneamento","DEPASA","Regional","Água","Autarquia",19,NA,216096,NA,373956,NA,NA,NA,NA,19,19,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
