"CO_MES";"SG_UF_NCM";"N_PRODUTOS";"N_PAIS";"N_VIAS";"N_URF";"KG_LIQUIDO";"VL_FOB"
1;"AC";18;8;4;10;2400836;3988282
1;"AL";19;25;4;16;134514116;41437449
1;"AM";175;57;6;25;10597358;70525493
1;"AP";9;9;3;4;79648739;50574530
1;"BA";502;87;6;34;662845458;559616521
1;"CE";267;96;6;29;273566045;180543978
1;"DF";38;38;5;9;9079641;12429351
1;"ES";206;83;5;27;3080452539;660791267
1;"GO";295;111;4;29;579035406;447872303
1;"MA";21;34;3;11;527091503;247988547
1;"MG";1267;130;6;36;12942534871;1968215631
1;"MS";275;90;6;21;974669353;327827854
1;"MT";97;85;5;27;3358508829;889961762
1;"ND";1974;118;6;46;270110749;692120530
1;"PA";129;85;5;26;15763738577;1208208387
1;"PB";39;36;5;17;34783152;14331370
1;"PE";165;64;5;30;171769479;135084944
1;"PI";9;19;2;10;991707;7720185
1;"PR";1544;157;6;36;1454777504;1071151021
1;"RE";314;46;4;20;1499171;219247399
1;"RJ";925;99;6;37;7261986328;2574773207
1;"RN";64;46;4;23;191445580;28562059
1;"RO";220;46;5;18;65440853;57704859
1;"RR";12;6;4;5;2514899;913765
1;"RS";1819;166;6;36;1516630222;1287964004
1;"SC";1559;164;6;33;510252929;594543178
1;"SE";27;25;4;11;7424557;7019897
1;"SP";3639;186;7;55;3017196026;3655038745
1;"TO";21;17;2;7;17149891;11126160
2;"AC";26;12;4;9;3046779;4476594
2;"AL";23;24;4;12;142267417;46653456
2;"AM";186;56;4;24;11251974;57206366
2;"AP";10;12;4;6;64987119;5583041
2;"BA";391;86;5;32;733397142;608249216
2;"CE";256;99;4;27;269872980;156313773
2;"DF";24;38;5;10;82145540;41909697
2;"ES";191;91;5;27;2340229693;464109179
2;"GO";304;106;6;29;537388981;403633476
2;"MA";23;30;3;8;498048119;230360789
2;"MG";1230;132;6;38;9926229932;1665521028
2;"MS";181;91;6;23;1066913868;336759071
2;"MT";91;83;5;27;2629949325;982592364
2;"ND";1861;124;5;47;71510049;315948990
2;"PA";114;79;6;26;12139006973;1042407831
2;"PB";34;42;5;15;3884647;6427920
2;"PE";156;64;5;27;130780141;157184495
2;"PI";29;22;3;10;23877467;14732365
2;"PR";1638;162;6;34;1652536242;1201067571
2;"RE";252;50;4;19;1379991;150586962
2;"RJ";958;107;6;31;4899104419;1779350995
2;"RN";71;43;4;28;117574496;35460146
2;"RO";236;49;5;19;115224850;94862200
