"","Ano","Órgão Orçamentário","Função","Unidade Orçamentária","Programa","Ação","Localizador","Plano Orçamentário","Grupo de Despesa","Modalidade de Aplicação","Resultado Primário","Fonte","Subfunção","Projeto de Lei","Dotação Inicial","Dotação Atual","Empenhado","Liquidado","Pago"
"1",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1398 - Desenvolvimento de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,5787850,5098900,5098900,3598401
"2",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1398 - Desenvolvimento de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","106 - Contribuição para o Fundo de Saúde dos Políciais Militares e Bombeiros Militares do Distrito Federal","572 - Desenvolvimento Tecnológico e Engenharia",2e+06,2e+06,0,0,0,0
"3",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1398 - Desenvolvimento de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","572 - Desenvolvimento Tecnológico e Engenharia",3905000,3787850,0,0,0,0
"4",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1398 - Desenvolvimento de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,95,92.625,92.625,13.087
"5",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1398 - Desenvolvimento de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","572 - Desenvolvimento Tecnológico e Engenharia",95,95,0,0,0,0
"6",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,2902969,2901050,2901050,2393771
"7",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","106 - Contribuição para o Fundo de Saúde dos Políciais Militares e Bombeiros Militares do Distrito Federal","572 - Desenvolvimento Tecnológico e Engenharia",300,300,0,0,0,0
"8",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","572 - Desenvolvimento Tecnológico e Engenharia",2683473,2602969,0,0,0,0
"9",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,1503527,1591249,1591249,1423043
"10",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1399 - Desenvolvimento de Veículos Lançadores de Satélites","0001 - Nacional","[valor não detalhado]","4 - Investimentos","90 - Aplicações Diretas","2 - Primária discricionária","175 - Taxas por Serviços Públicos","572 - Desenvolvimento Tecnológico e Engenharia",1503527,1503527,0,0,0,0
"11",2000,"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações","19 - Ciência e Tecnologia","24205 - Agência Espacial Brasileira","0464 - Nacional de Atividades Espaciais - Pnae","1400 - Desenvolvimento de Foguetes de Sondagem","0001 - Nacional","[valor não detalhado]","3 - Outras Despesas Correntes","90 - Aplicações Diretas","2 - Primária discricionária","100 - Recursos Ordinários","572 - Desenvolvimento Tecnológico e Engenharia",0,0,1648210,1676197,1676197,1161637
