"","Função","Programa","Grupo.de.Despesa","Modalidade.de.Aplicação","Resultado.Primário","Projeto.de.Lei","Dotação.Inicial","Dotação.Atual","Empenhado","Liquidado","Pago"
"1","19","0464","3","90","2",0,0,5787850,5098900,5098900,3598401
"2","19","0464","3","90","2",2e+06,2e+06,0,0,0,0
"3","19","0464","3","90","2",3905000,3787850,0,0,0,0
"4","19","0464","4","90","2",0,0,95,92.625,92.625,13.087
"5","19","0464","4","90","2",95,95,0,0,0,0
"6","19","0464","3","90","2",0,0,2902969,2901050,2901050,2393771
"7","19","0464","3","90","2",300,300,0,0,0,0
"8","19","0464","3","90","2",2683473,2602969,0,0,0,0
"9","19","0464","4","90","2",0,0,1503527,1591249,1591249,1423043
"10","19","0464","4","90","2",1503527,1503527,0,0,0,0
"11","19","0464","3","90","2",0,0,1648210,1676197,1676197,1161637
"12","19","0464","3","90","2",200,200,0,0,0,0
"13","19","0464","3","90","2",1493000,1448210,0,0,0,0
"14","19","0464","3","50","2",0,0,355,430.397,430.397,430.397
"15","19","0464","3","90","2",0,0,130,11.6,11.6,11.6
"16","19","0464","3","90","2",500,485,0,0,0,0
"17","19","0464","4","50","2",0,0,95,95,95,95
"18","19","0464","4","90","2",95,95,0,0,0,0
"19","19","0464","3","90","2",0,0,240.202,163.591,163.591,163.591
"20","19","0464","3","90","2",1400000,1260000,0,0,0,0
"21","19","0464","3","50","2",0,0,58.2,58.2,58.2,58.2
"22","19","0464","3","50","2",60,58.2,0,0,0,0
"23","19","0464","3","90","2",0,0,1566550,1535732,1535732,936.437
"24","19","0464","3","90","2",1615000,1566550,0,0,0,0
"25","05","0464","3","7244","2",0,0,132.819,132.819,132.819,132.819
"26","05","0464","3","90","2",7039600,6546828,6414009,3765353,3765353,3086536
"27","05","0464","4","7244","2",0,0,14.624,14.624,14.624,14.624
"28","05","0464","4","90","2",10559400,10559400,10154776,8872251,8872251,7246606
"29","19","0464","3","90","2",195.72,183.977,0,0,0,0
"30","19","0464","3","90","2",1400000,1316000,966,804.23,804.23,669.707
"31","19","0464","3","90","2",5871150,5460170,5583147,4759913,4759913,4739701
"32","19","0464","4","90","2",122.977,122.977,0,0,0,0
"33","19","0464","3","90","2",8441657,7850741,7850741,7914555,7914555,3028073
"34","19","0464","4","90","2",3930123,3930123,3930123,3879522,3879522,2738975
"35","19","0464","3","90","2",1668500,1668500,1668500,1462958,1462958,1040863
"36","19","0464","3","50","2",430,404.2,285.425,263.333,263.333,263.333
"37","19","0464","4","50","2",50,50,83.5,140.84,140.84,140.84
"38","19","0464","4","90","2",0,0,85.275,0,0,0
"39","19","0464","3","90","2",1419000,1376430,1376430,1207232,1207232,1028290
"40","19","0464","3","50","2",0,0,363.289,345.398,345.398,345.398
"41","19","0464","3","90","2",421,395.74,32.451,11.086,11.086,11.086
"42","19","0464","4","50","2",0,0,29,19.68,19.68,19.68
"43","19","0464","4","90","2",29,29,0,0,0,0
"44","19","0464","3","90","2",146.79,146.79,0,0,0,0
"45","19","0464","3","90","2",4035000,3913950,4795795,4722342,4722342,4722342
"46","19","0464","4","90","2",981.845,881.845,0,0,0,0
"47","19","0464","3","90","2",7500000,7275000,6275000,6269715,6269715,4200019
"48","19","0464","4","90","2",3778835,3778835,1058835,1048459,1048459,422.918
"49","19","0464","3","90","2",1668000,1617960,307.96,295.606,295.606,295.606
"50","19","0464","3","90","2",721.4,721.4,721.4,602.088,602.088,468.055
"51","19","0464","4","90","2",547.6,547.6,547.6,483.629,483.629,218.446
"52","19","0464","3","80","2",0,0,127.941,127.941,127.941,127.941
"53","19","0464","3","90","2",2e+06,1940000,1082059,710.34,710.34,339.175
"54","19","0464","4","80","2",0,0,25.376,25.376,25.376,25.376
"55","19","0464","4","90","2",1.1e+07,1.1e+07,2604624,2583514,2583514,1266792
"56","19","0464","3","90","2",1400000,1400000,1100000,1019125,1019125,1019125
"57","19","0464","3","90","2",60,60,60,2.765,2.765,2.765
"58","19","0464","3","90","2",4550000,4550000,4945000,4945000,4945000,4945000
"59","19","0464","3","90","2",7e+06,7e+06,7e+06,6133570,6133570,2187487
"60","19","0464","4","90","2",3672818,3672818,3672818,2942568,2942568,561.588
"61","19","0464","3","90","2",1380700,1380700,1380700,1131326,1131326,356.602
"62","19","0464","3","50","2",50,50,60,54.852,54.852,54.852
"63","19","0464","3","90","2",1683303,1683303,1673303,1404636,1404636,1388578
"64","19","0464","4","90","2",70,70,70,21.753,21.753,21.753
"66","19","0464","3","90","2",888.3,888.3,888.3,811.614,811.614,495.966
"67","19","0464","3","50","2",0,0,332,332,332,332
"68","19","0464","3","80","2",0,0,479.24,469.24,469.24,469.24
"69","19","0464","3","90","2",7177747,7177747,6306507,3380560,3380560,2198859
"70","19","0464","4","50","2",0,0,23,23,23,23
"71","19","0464","4","80","2",0,0,10,10,10,10
"72","19","0464","4","90","2",5067753,5067753,5094753,3665079,3665079,2411158
