ideTarifaFornecimento,nomConcessao,SigDistribuidora,SigRegiao,VlrTUSDConvencional,VlrTEConvencional,VlrTotaTRFConvencional,VlrTRFBrancaPonta,VlrTRFBrancaIntermediaria,VlrTRFBrancaForaPonta,NumResolucao,DthInicioVigencia,DthProcessamento
315,Concessionária,AmE,N ,0.41472,0.29134,0.70606,1.25504,0.84700,0.61792,2478/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
316,Concessionária,Boa Vista,N ,0.32810,0.30652,0.63462,1.25491,0.78768,0.52678,2479/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
317,Permissionária,CASTRO - DIS,S ,0.16845,0.16256,0.33101,0.53660,0.41108,0.28557,2477/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
318,Concessionária,CEA,N ,0.40338,0.16300,0.56638,1.23492,0.79378,0.46930,2495/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
319,Concessionária,Ceal,NE,0.30413,0.23112,0.53525,1.12359,0.71562,0.45231,2540/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
320,Concessionária,CEB-DIS,CO,0.23541,0.32181,0.55722,0.96696,0.63419,0.48592,2471/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
321,Permissionária,Cedrap,SE,0.35067,0.17848,0.52915,1.01800,0.70744,0.39687,2444/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
322,Permissionária,Cedri,SE,0.59345,0.19095,0.78440,1.76880,1.17311,0.57742,2454/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
323,Concessionária,CEEE-D,S ,0.23106,0.31654,0.54760,0.98699,0.64236,0.47457,2484/2018,01/11/2018 00:00:00,26/07/2019 00:00:00
324,Permissionária,CEGERO,S ,0.17147,0.16946,0.34093,0.52538,0.40821,0.29104,2487/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
325,Permissionária,Cejama,S ,0.36865,0.19476,0.56341,1.06960,0.74806,0.42651,2451/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
326,Concessionária,Celesc-DIS,S ,0.20872,0.31177,0.52049,0.88310,0.57950,0.45126,2436/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
327,Concessionária,Celg-D,CO,0.26697,0.29478,0.56175,0.99116,0.64790,0.47334,2470/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
328,Concessionária,Celpa,N ,0.39379,0.27719,0.67098,1.36082,0.87696,0.55444,2433/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
329,Concessionária,Celpe,NE,0.29838,0.25095,0.54933,1.15840,0.73203,0.46397,2535/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
330,Concessionária,Cemar,NE,0.37521,0.28081,0.65602,1.40270,0.88357,0.52894,2438/2018,01/08/2018 00:00:00,26/07/2019 00:00:00
331,Concessionária,Cemig-D,SE,0.34652,0.28181,0.62833,1.19806,0.76971,0.51894,2550/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
332,Permissionária,Cemirim,SE,0.26460,0.20622,0.47082,0.73954,0.56039,0.38124,2553/2019,01/05/2019 00:00:00,26/07/2019 00:00:00
333,Concessionária,Cepisa,NE,0.35410,0.26121,0.61531,1.31334,0.82849,0.51699,2523/2018,01/12/2018 00:00:00,26/07/2019 00:00:00
334,Permissionária,Ceprag,S ,0.48505,0.14165,0.62670,1.34944,0.89037,0.43124,2507/2018,01/12/2018 00:00:00,26/07/2019 00:00:00
335,Permissionária,Ceraça,S ,0.35769,0.11268,0.47037,0.97979,0.65620,0.33260,2455/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
336,Permissionária,Ceral Anitápolis,S ,0.43769,0.17133,0.60902,1.22430,0.83347,0.44265,2474/2018,01/10/2018 00:00:00,26/07/2019 00:00:00
337,Permissionária,CERAL ARARUAMA,SE,0.73465,0.21568,0.95033,2.01200,1.33753,0.66306,2539/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
338,Permissionária,Ceral DIS,S ,0.26846,0.17594,0.44440,0.83044,0.59475,0.35907,2422/2018,01/07/2018 00:00:00,26/07/2019 00:00:00
339,Permissionária,Cerbranorte,S ,0.28788,0.21343,0.50131,0.86706,0.63472,0.40238,2459/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
340,Permissionária,CERCI,SE,0.67913,0.21549,0.89462,1.85359,1.24436,0.63514,2538/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
341,Permissionária,Cercos,NE,0.51309,0.26969,0.78278,1.67909,1.14130,0.60352,2534/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
342,Permissionária,Cerej,S ,0.43432,0.10906,0.54338,1.15883,0.76788,0.37693,2456/2018,01/09/2018 00:00:00,26/07/2019 00:00:00
343,Permissionária,Ceres,SE,0.64722,0.23754,0.88476,1.95233,1.30055,0.64877,2536/2019,01/04/2019 00:00:00,26/07/2019 00:00:00
