"Ano do Óbito";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"1996";1939;8103;22828;3264;2795;38929
"1997";2018;8744;23252;3650;2867;40531
"1998";2337;8468;24739;3557;2873;41974
"1999";2145;8101;26158;3619;2924;42947
"2000";2400;9224;26511;3874;3424;45433
"2001";2641;10566;26966;4378;3481;48032
"2002";2938;10949;27507;4744;3678;49816
"2003";3161;11854;27650;5116;3753;51534
"2004";3185;11550;24971;5440;3763;48909
"2005";3696;13031;22098;5627;3684;48136
"2006";4067;14429;21709;5735;3764;49704
"2007";4003;15466;18963;5944;3843;48219
"2008";4860;17100;17805;6630;4264;50659
"2009";5194;17937;17626;6757;4529;52043
"2010";6027;18968;17103;6513;4405;53016
"2011";5650;19501;16511;6267;4878;52807
"2012";6101;21174;17542;6706;5522;57045
"2013";6120;22144;17443;6057;5632;57396
"2014";6299;23529;18219;6610;5817;60474
"2015";6965;23253;16426;6834;5602;59080
"2016";7904;24872;16779;7294;5668;62517
"2017";8532;27790;16837;7155;5288;65602
"Total";98182;346753;465643;121771;92454;1124803
